"","pop","pr_mean","pr_total","smaxpr","smaxpr_sd","smaxpr_cv","est_origin","region","water_clarity","lake_area_hec","watershed","years","sampling","study","pop_index","sr_pairs"
"59","sheneeza",51.95,4.18,782,802,1.03,"PR_modeled","low.coastal","stained",44,NA,NA,NA,NA,59,17
"60","skidegate",75.85,99.25,18559,13036,0.7,"PR_modeled","low.coastal","stained",715,NA,NA,NA,NA,60,51
"61","slamgeesh",68.82,9.6,2057,1734,0.84,"both","interior","clear",76,"Slamgeesh","2001","single","4",61,13
"62","stephens",148.85,50.9,9526,4266,0.45,"empirical","interior","clear",187,"Kispiox","2002","single","4",62,41
"63","sustut",75.69,34.6,6476,4558,0.7,"empirical","low.coastal","stained",250,"Sustut","1994","multiple","1, 5",63,7
"64","swan",95.12,309.3,56574,40534,0.72,"empirical","interior","clear",1777,"Kispiox","1978, 2002","multiple","1, 4",64,21
"65","tankeeah",37.93,19.4,3634,5105,1.4,"empirical","low.coastal","stained",280,NA,NA,NA,NA,65,36
"66","tuno-east",40.48,2.7,513,675,1.32,"PR_modeled","low.coastal","stained",37,NA,NA,NA,NA,66,17
"67","tuno-west",40.62,3.27,598,784,1.31,"PR_modeled","low.coastal","stained",43,NA,NA,NA,NA,67,11
"68","yakoun",83.21,127.3,23805,15243,0.64,"PR_modeled","low.coastal","stained",836,NA,NA,NA,NA,68,45
"69","yeo",72.01,11.14,2082,1541,0.74,"PR_modeled","low.coastal","stained",84.5,NA,NA,NA,NA,69,23
