"","Pop","Model","Metric","Estimate","SE"
"looic.415","devon","m4a","looic",59.568510130893,17.0133894754329
"elpd_loo.515","devon","m4b","elpd_loo",-28.9668476884469,7.6742973091082
"p_loo.515","devon","m4b","p_loo",8.75154689292805,5.90499409835663
"looic.515","devon","m4b","looic",57.9336953768939,15.3485946182164
"elpd_loo16","evelyn","m1","elpd_loo",-25.8412379181814,2.75576618390985
"p_loo16","evelyn","m1","p_loo",3.91532964974276,1.76331261196804
"looic16","evelyn","m1","looic",51.6824758363628,5.5115323678197
"elpd_loo.116","evelyn","m2a","elpd_loo",-24.7785402313802,2.91387993102364
"p_loo.116","evelyn","m2a","p_loo",3.57816513678363,1.65086449591984
"looic.116","evelyn","m2a","looic",49.5570804627603,5.82775986204729
"elpd_loo.216","evelyn","m2b","elpd_loo",-24.1994530775438,2.65831508774575
"p_loo.216","evelyn","m2b","p_loo",3.10583920937981,1.28820049921379
"looic.216","evelyn","m2b","looic",48.3989061550876,5.31663017549151
"elpd_loo.316","evelyn","m3","elpd_loo",-25.8615841031484,3.34844352071922
"p_loo.316","evelyn","m3","p_loo",4.12599986075574,2.17222412742756
"looic.316","evelyn","m3","looic",51.7231682062967,6.69688704143844
"elpd_loo.416","evelyn","m4a","elpd_loo",-24.4741146319672,3.0775858139876
"p_loo.416","evelyn","m4a","p_loo",3.26636701010964,1.6967096849607
"looic.416","evelyn","m4a","looic",48.9482292639343,6.15517162797519
"elpd_loo.516","evelyn","m4b","elpd_loo",-24.3921923077482,3.15168262923966
"p_loo.516","evelyn","m4b","p_loo",3.32313053783439,1.82555362068653
"looic.516","evelyn","m4b","looic",48.7843846154965,6.30336525847933
"elpd_loo17","fairfax","m1","elpd_loo",-36.0432264459284,14.5203933695396
"p_loo17","fairfax","m1","p_loo",21.4837374062151,11.1097692262636
"looic17","fairfax","m1","looic",72.0864528918568,29.0407867390791
"elpd_loo.117","fairfax","m2a","elpd_loo",-24.4195020572329,9.0517547748628
"p_loo.117","fairfax","m2a","p_loo",11.4697484793598,6.52728369603638
"looic.117","fairfax","m2a","looic",48.8390041144657,18.1035095497256
"elpd_loo.217","fairfax","m2b","elpd_loo",-24.4281342656312,8.97903392793549
"p_loo.217","fairfax","m2b","p_loo",11.2599194361622,6.32314365045155
"looic.217","fairfax","m2b","looic",48.8562685312625,17.958067855871
"elpd_loo.317","fairfax","m3","elpd_loo",-33.3079369553857,14.2073028472526
"p_loo.317","fairfax","m3","p_loo",20.8818592643937,11.4457928496557
"looic.317","fairfax","m3","looic",66.6158739107714,28.4146056945051
"elpd_loo.417","fairfax","m4a","elpd_loo",-21.156735161357,7.54991360944527
