"","Pop","Model","Weight"
"m4a47","meziadin","m4a","4.37611911396453e-05"
"m4b47","meziadin","m4b","0.999945304906295"
"m148","mikado","m1","2.10160211930219e-08"
"m2a48","mikado","m2a","2.75867956191888e-08"
"m2b48","mikado","m2b","5.13336958138998e-09"
"m348","mikado","m3","0.999999475253845"
"m4a48","mikado","m4a","1.39211248623018e-07"
"m4b48","mikado","m4b","3.3179871949951e-07"
"m149","morice","m1","0.708812713388715"
"m2a49","morice","m2a","2.63336921617187e-06"
"m2b49","morice","m2b","0.289413468438513"
"m349","morice","m3","0.00177073060386698"
"m4a49","morice","m4a","2.86681169873469e-07"
"m4b49","morice","m4b","1.67518519611498e-07"
"m150","morrison","m1","4.64118622885785e-07"
"m2a50","morrison","m2a","6.67418827192314e-08"
"m2b50","morrison","m2b","0.908306120683552"
"m350","morrison","m3","0.000154735287203355"
"m4a50","morrison","m4a","2.94314475301846e-06"
"m4b50","morrison","m4b","0.0915356700239857"
"m151","motase","m1","5.88027696069129e-09"
"m2a51","motase","m2a","2.33278967170081e-07"
"m2b51","motase","m2b","0.999999447755797"
"m351","motase","m3","6.21656139786807e-08"
"m4a51","motase","m4a","1.23088689316745e-09"
"m4b51","motase","m4b","2.49688458242581e-07"
"m152","namu","m1","7.74580454667829e-07"
"m2a52","namu","m2a","0.000217641039011353"
"m2b52","namu","m2b","0.510802297293545"
"m352","namu","m3","8.03734847743996e-08"
"m4a52","namu","m4a","9.83357273482404e-05"
"m4b52","namu","m4b","0.488880870986156"
"m153","owikeno","m1","1.62819220972487e-07"
"m2a53","owikeno","m2a","0.975347666640872"
"m2b53","owikeno","m2b","2.30213296137374e-05"
"m353","owikeno","m3","4.26204886659281e-08"
"m4a53","owikeno","m4a","0.0227274313269407"
"m4b53","owikeno","m4b","0.00190167526286344"
"m154","port-john","m1","1.15226021163335e-08"
"m2a54","port-john","m2a","6.91509164033176e-06"
"m2b54","port-john","m2b","2.59597169297459e-07"
"m354","port-john","m3","4.48531392610265e-09"
