"Pop","Model","Metric","Estimate","SE"
"bloomfield","m2a","p_loo",12.2587391244303,4.22621020475177
"bloomfield","m2a","looic",69.8431166726421,10.4111472904444
"bloomfield","m2b","elpd_loo",-34.8020084149009,5.57061338848271
"bloomfield","m2b","p_loo",12.3302785171587,4.56162782471087
"bloomfield","m2b","looic",69.6040168298019,11.1412267769654
"bloomfield","m3","elpd_loo",-37.6251110911338,7.05490877466401
"bloomfield","m3","p_loo",10.2601643629009,5.94539189844199
"bloomfield","m3","looic",75.2502221822676,14.109817549328
"bloomfield","m4a","elpd_loo",-36.1160715846889,8.31783684156354
"bloomfield","m4a","p_loo",12.4980096425422,7.01572114259692
"bloomfield","m4a","looic",72.2321431693777,16.6356736831271
"bloomfield","m4b","elpd_loo",-35.7357033051206,7.90958690312361
"bloomfield","m4b","p_loo",12.1948909454413,6.57975371889764
"bloomfield","m4b","looic",71.4714066102411,15.8191738062472
"bonilla","m1","elpd_loo",-43.961488965718,6.89597144221258
"bonilla","m1","p_loo",21.6389832587252,6.55357188747527
"bonilla","m1","looic",87.922977931436,13.7919428844252
"bonilla","m2a","elpd_loo",-33.9597891130144,3.58881480967244
"bonilla","m2a","p_loo",12.8181468260634,3.28740534179029
"bonilla","m2a","looic",67.9195782260287,7.17762961934487
"bonilla","m2b","elpd_loo",-34.1404975907953,3.677209000827
"bonilla","m2b","p_loo",13.0023936767917,3.36388911524111
"bonilla","m2b","looic",68.2809951815906,7.354418001654
"bonilla","m3","elpd_loo",-43.8466951973958,6.94398274801735
"bonilla","m3","p_loo",21.9414720688573,6.59476789950294
"bonilla","m3","looic",87.6933903947917,13.8879654960347
"bonilla","m4a","elpd_loo",-35.1752756126775,4.02361143424816
"bonilla","m4a","p_loo",13.9847061827988,3.71545882231942
"bonilla","m4a","looic",70.3505512253549,8.04722286849632
"bonilla","m4b","elpd_loo",-35.710570184081,4.23538003410204
"bonilla","m4b","p_loo",14.5406259925111,3.92564929494291
"bonilla","m4b","looic",71.421140368162,8.47076006820408
"borrowman","m1","elpd_loo",-1268.63613252648,807.502906558254
"borrowman","m1","p_loo",1254.64058186671,806.793193603724
"borrowman","m1","looic",2537.27226505297,1615.00581311651
"borrowman","m2a","elpd_loo",-239.02562965438,153.076209487425
"borrowman","m2a","p_loo",226.169681087275,152.64477541366
"borrowman","m2a","looic",478.051259308761,306.152418974849
"borrowman","m2b","elpd_loo",-170.193683205528,104.54112422395
"borrowman","m2b","p_loo",157.48526322896,104.089072660321
"borrowman","m2b","looic",340.387366411056,209.082248447899
"borrowman","m3","elpd_loo",-1924.4127682633,1301.63743001202
