"Weight","Model","Pop"
1.19454150975407e-09,"m2b","kisameet"
7.70177376294336e-09,"m3","kisameet"
0.204830398073496,"m4a","kisameet"
0.795169579823726,"m4b","kisameet"
0.731429180935238,"m1","kitkiata"
0.268567706069314,"m2a","kitkiata"
2.96408077701873e-06,"m2b","kitkiata"
1.3678197792573e-07,"m3","kitkiata"
7.04536609137941e-09,"m4a","kitkiata"
5.08732656001598e-09,"m4b","kitkiata"
1.05959408759924e-09,"m1","kitlope"
1.14841795099847e-07,"m2a","kitlope"
0.99999931571441,"m2b","kitlope"
3.72525511014066e-08,"m3","kitlope"
3.96790978035807e-07,"m4a","kitlope"
1.34340671253952e-07,"m4b","kitlope"
9.17871251893405e-11,"m1","kitsumkalum"
1.0407542789967e-08,"m2a","kitsumkalum"
3.15807659972943e-09,"m2b","kitsumkalum"
2.48425296121577e-08,"m3","kitsumkalum"
0.287174891844226,"m4a","kitsumkalum"
0.712825069655838,"m4b","kitsumkalum"
0.0944733397159409,"m1","kitwancool"
0.490444684914782,"m2a","kitwancool"
1.59578782653505e-06,"m2b","kitwancool"
2.71449440996033e-09,"m3","kitwancool"
1.95023049685431e-07,"m4a","kitwancool"
0.415080181843907,"m4b","kitwancool"
3.44646043178438e-09,"m1","koeye"
5.79927805575514e-08,"m2a","koeye"
3.52303387760366e-08,"m2b","koeye"
2.33960520679219e-08,"m3","koeye"
1.97763721042418e-06,"m4a","koeye"
0.999997902297158,"m4b","koeye"
1.20206904076733e-09,"m1","kooryet"
6.51354907986708e-08,"m2a","kooryet"
8.33578930572578e-08,"m2b","kooryet"
4.57598828816744e-09,"m3","kooryet"
1.00456109855679e-05,"m4a","kooryet"
0.999989800117573,"m4b","kooryet"
3.37235928576827e-08,"m1","kwakwa"
8.90871627035e-08,"m2a","kwakwa"
1.76829317253027e-09,"m2b","kwakwa"
8.5858074554047e-08,"m3","kwakwa"
1.31172400242776e-05,"m4a","kwakwa"
0.999986672322852,"m4b","kwakwa"
4.35433624671083e-08,"m1","lakelse"
3.32128063186726e-06,"m2a","lakelse"
5.60143150997528e-08,"m2b","lakelse"
6.19705405438069e-11,"m3","lakelse"
0.999937501657491,"m4a","lakelse"
5.90774422292162e-05,"m4b","lakelse"
0.853425981331585,"m1","long"
3.36174989152344e-09,"m2a","long"
7.05177105285623e-08,"m2b","long"
0.146573860649895,"m3","long"
7.10570362645821e-08,"m4a","long"
1.30820237975726e-08,"m4b","long"
5.53568592150854e-10,"m1","lowe"
1.72846847067426e-08,"m2a","lowe"
1.30228333475367e-08,"m2b","lowe"
4.9936179120498e-10,"m3","lowe"
1.95595942635682e-06,"m4a","lowe"
0.999998012680125,"m4b","lowe"
1.19519526380711e-10,"m1","marian-eden"
3.18272137467343e-07,"m2a","marian-eden"
9.77680588825462e-08,"m2b","marian-eden"
0.209761585443377,"m3","marian-eden"
0.000140438770687335,"m4a","marian-eden"
0.79009755962622,"m4b","marian-eden"
0.143482189945383,"m1","mary-cove"
9.14940653872888e-07,"m2a","mary-cove"
0.841140302526083,"m2b","mary-cove"
1.25821912646363e-08,"m3","mary-cove"
0.000203213442429327,"m4a","mary-cove"
0.0151733665632595,"m4b","mary-cove"
4.00054980160861e-09,"m1","mathers"
8.57543976982315e-10,"m2a","mathers"
1.19092749981414e-07,"m2b","mathers"
0.694615117483118,"m3","mathers"
3.15596086202282e-06,"m4a","mathers"
0.305381602605177,"m4b","mathers"
9.05832012124828e-09,"m1","mcdonell"
1.41842375946677e-07,"m2a","mcdonell"
5.82540819956719e-06,"m2b","mcdonell"
2.85093897719222e-09,"m3","mcdonell"
1.42699781785685e-07,"m4a","mcdonell"
0.999993878140384,"m4b","mcdonell"
3.57954591135198e-08,"m1","mcloughlin"
7.4837173792134e-10,"m2a","mcloughlin"
9.99704890110088e-10,"m2b","mcloughlin"
0.104259031612282,"m3","mcloughlin"
0.885080166911251,"m4a","mcloughlin"
0.0106607639329314,"m4b","mcloughlin"
2.33681530301145e-10,"m1","mercer"
4.70143882022249e-08,"m2a","mercer"
2.60449699905274e-08,"m2b","mercer"
0.999983308219891,"m3","mercer"
3.91980930165886e-06,"m4a","mercer"
1.2698677767875e-05,"m4b","mercer"
9.09616672089499e-08,"m1","meziadin"
1.51242616185078e-09,"m2a","meziadin"
7.00476527465033e-09,"m2b","meziadin"
0.999999741585705,"m3","meziadin"
7.37756977374923e-08,"m4a","meziadin"
8.51597382611757e-08,"m4b","meziadin"
0.64444838602456,"m1","mikado"
6.77742715688479e-08,"m2a","mikado"
1.35729682547202e-08,"m2b","mikado"
0.355551399829491,"m3","mikado"
7.61125713238454e-08,"m4a","mikado"
5.66861383388684e-08,"m4b","mikado"
0.351510375947445,"m1","morice"
2.27401976228449e-09,"m2a","morice"
4.85439758608136e-07,"m2b","morice"
0.648488704908289,"m3","morice"
4.53743846513446e-08,"m4a","morice"
3.86056102641419e-07,"m4b","morice"
1.66627154581617e-06,"m1","morrison"
7.70316619009513e-09,"m2a","morrison"
0.999998279422524,"m2b","morrison"
4.05179395852407e-08,"m3","morrison"
1.24416393584737e-10,"m4a","morrison"
5.96040761191574e-09,"m4b","morrison"
1.16919520121701e-09,"m1","motase"
3.41203399468586e-08,"m2a","motase"
0.999999960615813,"m2b","motase"
1.17397550300198e-11,"m3","motase"
2.35477334249711e-09,"m4a","motase"
1.72813907628466e-09,"m4b","motase"
7.71362114753099e-09,"m1","namu"
1.03879369806404e-06,"m2a","namu"
5.25340782107068e-07,"m2b","namu"
4.40303413984693e-08,"m3","namu"
5.56330231797437e-05,"m4a","namu"
0.999942751098377,"m4b","namu"
0.0938892708459342,"m1","owikeno"
0.175592699919673,"m2a","owikeno"
0.730517787852097,"m2b","owikeno"
1.24057455729889e-07,"m3","owikeno"
7.58600622268062e-08,"m4a","owikeno"
4.14647781665778e-08,"m4b","owikeno"
1.52382343236109e-08,"m1","port-john"
1.00754035392467e-08,"m2a","port-john"
5.46623216783546e-09,"m2b","port-john"
0.176585091183285,"m3","port-john"
0.82341419915881,"m4a","port-john"
6.788780346767e-07,"m4b","port-john"
2.01208751594187e-10,"m1","price"
2.85796638092102e-08,"m2a","price"
9.8352512773889e-08,"m2b","price"
1.30651466028132e-08,"m3","price"
4.02531255139778e-06,"m4a","price"
0.999995834488917,"m4b","price"
1.12785751371215e-08,"m1","prudhomme"
4.01534917735098e-08,"m2a","prudhomme"
0.999999784610457,"m2b","prudhomme"
1.83247082604763e-09,"m3","prudhomme"
4.72917318103929e-08,"m4a","prudhomme"
1.14833273445747e-07,"m4b","prudhomme"
6.84587493460381e-11,"m1","shawaltan"
8.39527587380991e-09,"m2a","shawaltan"
1.17572908021342e-08,"m2b","shawaltan"
1.21097529361922e-08,"m3","shawaltan"
0.9999997427171,"m4a","shawaltan"
2.24952121818944e-07,"m4b","shawaltan"
1.80791722244694e-09,"m1","sheneeza"
1.20046550528514e-08,"m2a","sheneeza"
1.35762734592587e-08,"m2b","sheneeza"
2.78978495945311e-08,"m3","sheneeza"
0.00134951720741559,"m4a","sheneeza"
0.998650427505889,"m4b","sheneeza"
7.20757053050435e-08,"m1","skidegate"
1.62596216827342e-06,"m2a","skidegate"
0.000378987554515149,"m2b","skidegate"
1.62752477216592e-08,"m3","skidegate"
0.000208769901855298,"m4a","skidegate"
0.999410528230508,"m4b","skidegate"
3.4715357504771e-07,"m1","slamgeesh"
4.49568065651456e-07,"m2a","slamgeesh"
0.999986378133679,"m2b","slamgeesh"
2.9000651693606e-09,"m3","slamgeesh"
7.81316048857752e-06,"m4a","slamgeesh"
5.00908412626178e-06,"m4b","slamgeesh"
1.12364399410299e-09,"m1","stephens"
1.10523653295061e-05,"m2a","stephens"
0.99998788639288,"m2b","stephens"
1.25689711154185e-07,"m3","stephens"
6.30664740335778e-07,"m4a","stephens"
3.03763695197468e-07,"m4b","stephens"
1.0578329625993e-09,"m1","sustut"
1.00269900870004e-07,"m2a","sustut"
0.999999821626183,"m2b","sustut"
6.66926520317899e-11,"m3","sustut"
1.97209542376167e-08,"m4a","sustut"
5.72584359925798e-08,"m4b","sustut"
